date,601857,00857,spread,rolling_mean,rolling_std,zscore,cheap_leg,pair_direction
2018-01-02,5.9,2.992668,0.09934823879265364,,,,flat,flat
2018-01-03,5.92,2.949796,0.11368102393680413,,,,flat,flat
2018-01-04,6.12,3.09994,0.10923559108395564,,,,flat,flat
2018-01-05,6.15,3.110612,0.11151784190248726,,,,flat,flat
2018-01-08,6.1,3.089176,0.10860159049565998,,,,flat,flat
2018-01-09,6.09,3.09994,0.1043215762815265,,,,flat,flat
2018-01-10,6.26,3.121376,0.12662477730310973,,,,flat,flat
2018-01-11,6.27,3.153576,0.1204334729607891,,,,flat,flat
2018-01-12,6.26,3.1803480000000004,0.11242287621097902,,,,flat,flat
2018-01-15,6.31,3.1696760000000004,0.12292882570874519,,,,flat,flat
2018-01-16,6.23,3.164248,0.11146999413605818,,,,flat,flat
2018-01-17,6.31,3.121376,0.13458026874422435,,,,flat,flat
2018-01-18,6.25,3.1267120000000004,0.1237300227721374,,,,flat,flat
2018-01-19,6.44,3.110612,0.15759430020032295,,,,flat,flat
2018-01-22,6.41,3.1482400000000004,0.14380137269563165,,,,flat,flat
2018-01-23,6.58,3.164248,0.16612840667392237,,,,flat,flat
2018-01-24,6.68,3.3305840000000004,0.14233752299362024,,,,flat,flat
2018-01-25,6.62,3.405656,0.11640170704917374,,,,flat,flat
2018-01-26,6.66,3.4217560000000002,0.11884718259998062,,,,flat,flat
2018-01-29,6.66,3.4753920000000003,0.1070455274898856,,,,flat,flat
2018-01-30,6.52,3.35202,0.11322595320310858,,,,flat,flat
2018-01-31,6.45,3.3251560000000002,0.10853729649757371,,,,flat,flat
2018-02-01,6.44,3.27152,0.11932493769034191,,,,flat,flat
2018-02-02,6.66,3.3948920000000005,0.12482784635001543,,,,flat,flat
2018-02-05,6.69,3.309056,0.14875389559156127,,,,flat,flat
2018-02-06,6.31,3.1160400000000004,0.1358785193798715,,,,flat,flat
2018-02-07,6.13,3.03554,0.126797687849603,,,,flat,flat
2018-02-08,5.98,2.9873320000000003,0.11417059120481265,,,,flat,flat
2018-02-09,5.69,2.885396,0.09080408524186911,,,,flat,flat
2018-02-12,5.71,2.8370960000000003,0.10712198910818016,,,,flat,flat
2018-02-13,5.73,2.84786,0.10774510715009622,,,,flat,flat
