date,capital,spread,zscore,cheap_leg,position,gross_exposure,returns
2018-01-02,100000.0,0.09934823879265364,,flat,flat,0.0,0.0
2018-01-03,100000.0,0.11368102393680413,,flat,flat,0.0,0.0
2018-01-04,100000.0,0.10923559108395564,,flat,flat,0.0,0.0
2018-01-05,100000.0,0.11151784190248726,,flat,flat,0.0,0.0
2018-01-08,100000.0,0.10860159049565998,,flat,flat,0.0,0.0
2018-01-09,100000.0,0.1043215762815265,,flat,flat,0.0,0.0
2018-01-10,100000.0,0.12662477730310973,,flat,flat,0.0,0.0
2018-01-11,100000.0,0.1204334729607891,,flat,flat,0.0,0.0
2018-01-12,100000.0,0.11242287621097902,,flat,flat,0.0,0.0
2018-01-15,100000.0,0.12292882570874519,,flat,flat,0.0,0.0
2018-01-16,100000.0,0.11146999413605818,,flat,flat,0.0,0.0
2018-01-17,100000.0,0.13458026874422435,,flat,flat,0.0,0.0
2018-01-18,100000.0,0.1237300227721374,,flat,flat,0.0,0.0
2018-01-19,100000.0,0.15759430020032295,,flat,flat,0.0,0.0
2018-01-22,100000.0,0.14380137269563165,,flat,flat,0.0,0.0
2018-01-23,100000.0,0.16612840667392237,,flat,flat,0.0,0.0
2018-01-24,100000.0,0.14233752299362024,,flat,flat,0.0,0.0
2018-01-25,100000.0,0.11640170704917374,,flat,flat,0.0,0.0
2018-01-26,100000.0,0.11884718259998062,,flat,flat,0.0,0.0
2018-01-29,100000.0,0.1070455274898856,,flat,flat,0.0,0.0
2018-01-30,100000.0,0.11322595320310858,,flat,flat,0.0,0.0
2018-01-31,100000.0,0.10853729649757371,,flat,flat,0.0,0.0
2018-02-01,100000.0,0.11932493769034191,,flat,flat,0.0,0.0
2018-02-02,100000.0,0.12482784635001543,,flat,flat,0.0,0.0
2018-02-05,100000.0,0.14875389559156127,,flat,flat,0.0,0.0
2018-02-06,100000.0,0.1358785193798715,,flat,flat,0.0,0.0
2018-02-07,100000.0,0.126797687849603,,flat,flat,0.0,0.0
2018-02-08,100000.0,0.11417059120481265,,flat,flat,0.0,0.0
2018-02-09,100000.0,0.09080408524186911,,flat,flat,0.0,0.0
2018-02-12,100000.0,0.10712198910818016,,flat,flat,0.0,0.0
2018-02-13,100000.0,0.10774510715009622,,flat,flat,0.0,0.0
2018-02-14,100000.0,0.105211190011677,,flat,flat,0.0,0.0
2018-02-22,100000.0,0.10284928356655054,,flat,flat,0.0,0.0
2018-02-23,100000.0,0.09389962683119346,,flat,flat,0.0,0.0
2018-02-26,100000.0,0.09562605455781337,,flat,flat,0.0,0.0
2018-02-27,100000.0,0.08028048488315287,,flat,flat,0.0,0.0
2018-02-28,100000.0,0.07695346548890569,,flat,flat,0.0,0.0
2018-03-01,100000.0,0.08836178666247707,,flat,flat,0.0,0.0
2018-03-02,100000.0,0.09680574076323645,,flat,flat,0.0,0.0
2018-03-05,100000.0,0.1178126763227203,,flat,flat,0.0,0.0
2018-03-06,100000.0,0.10995175465600304,,flat,flat,0.0,0.0
2018-03-07,100000.0,0.11522178848456521,,flat,flat,0.0,0.0
2018-03-08,100000.0,0.10412963118713292,,flat,flat,0.0,0.0
2018-03-09,100000.0,0.10553942073199096,,flat,flat,0.0,0.0
2018-03-12,100000.0,0.09599947682470267,,flat,flat,0.0,0.0
2018-03-13,100000.0,0.09184053830503647,,flat,flat,0.0,0.0
2018-03-14,100000.0,0.09466071206461857,,flat,flat,0.0,0.0
2018-03-15,100000.0,0.09220861068156616,,flat,flat,0.0,0.0
2018-03-16,100000.0,0.09403307745557543,,flat,flat,0.0,0.0
2018-03-19,100000.0,0.09821815452070659,,flat,flat,0.0,0.0
2018-03-20,100000.0,0.11215566236448815,,flat,flat,0.0,0.0
2018-03-21,100000.0,0.08869721171998335,,flat,flat,0.0,0.0
2018-03-22,100000.0,0.0821754094700573,,flat,flat,0.0,0.0
2018-03-23,100000.0,0.07626496028442997,,flat,flat,0.0,0.0
2018-03-26,100000.0,0.05608444747808372,,flat,flat,0.0,0.0
2018-03-27,100000.0,0.05453335143410942,,flat,flat,0.0,0.0
2018-03-28,100000.0,0.030521178567566976,,flat,flat,0.0,0.0
2018-03-29,100000.0,0.057256529837735215,,flat,flat,0.0,0.0
2018-04-03,100000.0,0.03246233762603723,,flat,flat,0.0,0.0
