date,a_close,h_close_hkd,fx_rate,h_close_cny,ah_premium_pct
2018-02-23,5.86,3.2471,0.92,2.9873320000000003,0.9616165863051043
2018-02-26,5.91,3.2762,0.92,3.014104,0.9607817115799586
2018-02-27,5.82,3.2762,0.92,3.014104,0.9309220916066598
2018-02-28,5.73,3.2237,0.92,2.9658040000000003,0.9320224802448172
2018-03-01,5.74,3.1829,0.92,2.928268,0.9602030961646952
2018-03-02,5.7,3.1188,0.92,2.869296,0.9865500108737475
2018-03-05,5.73,3.0547,0.92,2.810324,1.0389108159770903
2018-03-06,5.8,3.1363,0.92,2.885396,1.0101227006622313
2018-03-07,5.74,3.0722,0.92,2.8264240000000003,1.0308347226035441
2018-03-08,5.75,3.1246,0.92,2.874632,1.000256032772195
2018-03-09,5.75,3.1188,0.92,2.869296,1.0039758881621137
2018-03-12,5.76,3.1655,0.92,2.9122600000000003,0.9778453846840596
2018-03-13,5.72,3.1538,0.92,2.901496,0.9713968242589339
2018-03-14,5.72,3.1421,0.92,2.8907320000000003,0.9787375654332533
2018-03-15,5.69,3.1305,0.92,2.8800600000000003,0.9756532850010069
2018-03-16,5.66,3.1013,0.92,2.853196,0.9837403389041621
2018-03-19,5.7,3.113,0.92,2.86396,0.9902512604924649
2018-03-20,5.78,3.113,0.92,2.86396,1.0181846115169209
2018-03-21,5.75,3.1888,0.92,2.9336960000000003,0.9599849473156044
2018-03-22,5.76,3.2237,0.92,2.9658040000000003,0.9421377811885072
2018-03-23,5.6,3.1305,0.92,2.8800600000000003,0.9444039360291101
2018-03-26,5.55,3.1771,0.92,2.922932,0.8987783499581927
2018-03-27,5.58,3.2063,0.92,2.949796,0.8916562365668677
2018-03-28,5.44,3.2004,0.92,2.9443680000000003,0.847595137564326
2018-03-29,5.51,3.1421,0.92,2.8907320000000003,0.9060916058631514
2018-04-03,5.36,3.1305,0.92,2.8800600000000003,0.86107233877072
2018-04-04,5.34,3.0955,0.92,2.84786,0.875092174474869
2018-04-09,5.35,3.1305,0.92,2.8800600000000003,0.8576001888849534
