window_end,p_value,hedge_ratio,residual_std
2018-10-09,0.8891271289461247,0.16089346850319178,0.060680741177939666
2018-10-16,0.7467953527135974,0.22969346211849814,0.061689626836543186
2018-10-24,0.5665725670387609,0.26014093786392,0.0601835470537428
2018-10-31,0.24249233090130567,0.28351993735349706,0.05767624368471863
2018-11-07,0.14589789880149073,0.300959408207101,0.052265021127183516
2018-11-14,0.10091794275214788,0.3294237381875966,0.04600763203860376
2018-11-21,0.3956145598282372,0.36488168176317715,0.043520215880889807
2018-11-28,0.38573033852609023,0.403886502762041,0.04218164924988934
2018-12-05,0.2807816200471161,0.4412451971399229,0.04121417655473274
2018-12-12,0.19776269381566236,0.5063717831847238,0.03897717258903201
2018-12-19,0.04265391150629701,0.5819915208556867,0.03613334306788853
2018-12-28,0.08779469164210146,0.6587752734292958,0.03309665197890867
2019-01-08,0.03274297826978507,0.7379403948917469,0.03125733006889144
2019-01-15,0.05563628236742515,0.7947800120869919,0.03090872113167314
2019-01-22,0.11747628145431838,0.8033267959826781,0.03229494163115673
2019-01-29,0.1051176899838494,0.8074323218937555,0.03395072149159962
2019-02-12,0.2453754126599278,0.8060828645364163,0.03558750933529325
2019-02-19,0.18531941335412344,0.789045004095748,0.03720785780984221
2019-02-26,0.24700896875867717,0.7544104699572636,0.038752462851295195
2019-03-05,0.22499280535498573,0.7630581162740417,0.038006743661428
2019-03-12,0.44358268803852813,0.7634227039986189,0.038051636544614076
2019-03-19,0.5237102933714324,0.7427294837651933,0.03886537346706347
2019-03-26,0.6847585780511742,0.7142224697780102,0.039716352061201034
2019-04-02,0.7222776468780389,0.6330754550006864,0.042698010379238864
2019-04-10,0.7871650851610623,0.5683446315238336,0.04449747070268063
2019-04-17,0.7821207571087178,0.5143635498217354,0.04635761155149839
2019-04-26,0.8591077341617729,0.45127812521240424,0.047815892512053156
2019-05-08,0.8501942696997369,0.4226599836666231,0.049789201718838536
2019-05-16,0.8181379375665472,0.42221588703719687,0.051256795287194644
2019-05-23,0.8516504086145029,0.43969490932345934,0.052423258909085294
2019-05-30,0.8948119198753477,0.5193355734451452,0.05198277309300617
2019-06-06,0.8673043677528238,0.5911383214411696,0.05114273616911361
2019-06-14,0.8410244524425449,0.6119859079027145,0.05176131690886896
2019-06-21,0.8286150002615029,0.6160347775385744,0.053409197335393614
2019-06-28,0.6320890541755468,0.5780577364784525,0.05584795534273343
2019-07-08,0.7303750130064035,0.5042566202668124,0.056524998009713105
2019-07-15,0.4189171436927075,0.3683264480613771,0.055704259397624335
2019-07-22,0.982610451699833,0.2402784339891139,0.05401685577429692
2019-07-29,0.9080385566637998,0.1580343655301206,0.05459566273893781
2019-08-05,0.9782329963186056,0.18813127525578305,0.05555713789843758
2019-08-12,0.9710183522213538,0.2707027258440111,0.05726703523290438
2019-08-19,0.9461751847443229,0.3789730939531561,0.0586119470867833
2019-08-26,0.8996865322895854,0.47759619816760335,0.0592917875084799
2019-09-02,0.8930738676143227,0.5674270208597721,0.059494162272171476
2019-09-09,0.8870925448703126,0.6021752534358085,0.06017287701660775
2019-09-17,0.9077356955653277,0.6201472059289697,0.06055030389448159
2019-09-24,0.7079030944067345,0.651486293643839,0.0602624747834346
2019-10-08,0.40876215207260863,0.7624773911014059,0.05864862488350583
2019-10-15,0.6281102030500986,0.8772067087436807,0.05621290242525971
2019-10-22,0.5780152695289916,0.9317503630895707,0.055573166683007706
2019-10-29,0.5879655238047059,0.968933339288483,0.05565533872041035
2019-11-05,0.811824686830013,1.0083200525923632,0.05678301763394275
2019-11-12,0.9201292557328264,1.0176809720857003,0.06112425599353545
2019-11-19,0.893955286982379,1.0462092147975735,0.06472299788222427
2019-11-26,0.6815833158833748,1.0629373840476963,0.06631527028396088
2019-12-03,0.29352579708189985,1.0734588512710197,0.06482236290322373
2019-12-10,0.30194199385645715,1.0882416576708194,0.06078782966853448
2019-12-17,0.5089322311507851,1.0791512900176552,0.05949673154086902
2019-12-24,0.9004619545593566,1.0271113871440571,0.06098211565088176
2020-01-03,0.9292538140725958,0.9455892775822783,0.06489015135093748
2020-01-10,0.9507862047438865,0.7952531856447611,0.0672708724800027
2020-01-17,0.9578553825346675,0.6237881016890438,0.0694770227937473
2020-02-03,0.9814868401211517,0.48066144542273603,0.07094792484758701
2020-02-10,0.9526606935475154,0.41976798925026576,0.0738486402686446
2020-02-17,0.9023225731802451,0.37060909933940517,0.07499492918536314
2020-02-24,0.8658643541852371,0.34796371150720434,0.07484830210984904
2020-03-02,0.8315011828212016,0.4318484842693512,0.07400395997313255
2020-03-09,0.46412487658591683,0.5042349769972804,0.07103900583012943
2020-03-16,0.6256849167132059,0.443686985304314,0.06726741077451977
2020-03-23,0.5524819425044627,0.37953880970500675,0.06456038627951556
2020-03-30,0.524370694825237,0.384180199088168,0.06219897618382717
2020-04-07,0.7748711247882605,0.4051005020356682,0.061647733528877625
2020-04-16,0.7743445339826511,0.42507396196877256,0.06222981882054201
2020-04-23,0.46186679728636393,0.44463503620359285,0.06296069668055597
2020-05-06,0.5722853296676429,0.46486480663133434,0.06504814326734361
2020-05-13,0.5233847396968428,0.48074557780620847,0.06602826350508723
2020-05-20,0.5462030837713839,0.49769005244195896,0.0675823769763725
2020-05-27,0.5526861878462432,0.5167251221836378,0.06870512630085622
2020-06-03,0.6173012783009404,0.5341044466409375,0.07035956455702262
2020-06-10,0.7131587478534344,0.5440702085240465,0.07345970848552577
2020-06-17,0.6894144485493822,0.5533059206338556,0.07520948737113489
2020-06-24,0.506355725999451,0.5555513865922976,0.07644614834293152
2020-07-06,0.10886911866254306,0.5520337232678585,0.07651847233042533
2020-07-13,0.3023572634424281,0.5424090423990844,0.07465228387075086
2020-07-20,0.2824665441294304,0.5359510630830762,0.07258246021156686
2020-07-27,0.2807239899307562,0.526636737345111,0.07061345883931024
2020-08-03,0.3164234002624605,0.5156477583535162,0.06872133195321335
2020-08-10,0.38602622342240567,0.5067387590766153,0.06749553154038004
2020-08-17,0.3860689585225928,0.5023263103250024,0.06763600388089007
2020-08-24,0.38032328376721797,0.5005633902976911,0.06801020989150834
2020-08-31,0.3750627548275835,0.4952361575076971,0.06812292032761337
2020-09-07,0.36170764743640127,0.4908420698563424,0.06798702959098864
2020-09-14,0.3178399854855138,0.4854887215837172,0.0671574735593169
2020-09-21,0.42869312061187737,0.47560579479652615,0.0663021210763294
2020-09-28,0.3360311030360097,0.462754205234958,0.06551162321162245
2020-10-14,0.32897422580648195,0.44271840269462176,0.06446374292665151
2020-10-21,0.3732353576818092,0.3974424615452292,0.06167920344508316
2020-10-29,0.4162848166540906,0.3529421339180278,0.059585281301299996
2020-11-05,0.5505482649266119,0.3091060539808561,0.057597790616674645
2020-11-12,0.6988350252761001,0.28139901543909995,0.05739792412732632
2020-11-19,0.5113876078823861,0.22343973471715356,0.056494769070810885
2020-11-26,0.401608769972631,0.11824645860341466,0.05339360273980168
2020-12-03,0.04716575083251589,0.021446814734868896,0.04937429933241521
2020-12-10,0.33659933905730444,-0.06515499063550209,0.04241258258190944
2020-12-17,0.18144062566017422,-0.02267014563928843,0.03675543295377906
2020-12-24,0.2433932316283247,0.0800915647319142,0.032129370581046916
2021-01-04,0.03692723533578268,0.1448410983860322,0.028184495147419025
2021-01-11,0.06162358533834248,0.14412348642063721,0.0268280848531325
2021-01-18,0.054641284258521536,0.1422679863188398,0.026038929985814876
2021-01-25,0.09063432116237291,0.14761072063701472,0.02549639111788293
2021-02-01,0.09520047914783836,0.15161487958555958,0.025713424427895443
2021-02-08,0.11726570038801509,0.14497982022827569,0.026471918486000053
2021-02-22,0.06375368448898991,0.14431216742406192,0.02661630710739313
2021-03-01,0.06409864508015285,0.15210788394765978,0.026618086048503433
2021-03-08,0.05531251619006039,0.16001363268634095,0.026423027675592327
2021-03-15,0.1465588346097007,0.18434255154893264,0.02606188083478716
2021-03-22,0.09647309172058482,0.19913115112224755,0.02503782401632406
2021-03-29,0.04205211567033125,0.20839173123776097,0.023803911181347198
2021-04-08,0.030177088114248622,0.2074038927890077,0.022803785616912736
2021-04-15,0.057475021147925735,0.19604865313907333,0.02049798562598342
2021-04-22,0.13629266036568394,0.19331135077237974,0.020200016541557616
2021-04-29,0.12276049360702973,0.18882403191788738,0.01966470261040361
2021-05-11,0.21451098440394778,0.1975209942560996,0.020077725783093425
2021-05-18,0.9774422110564925,0.2145044462269013,0.024614161094545266
2021-05-26,0.31482934774238763,0.22280044804338694,0.0281756438149214
2021-06-02,0.4584338354009204,0.23322835837562284,0.030971077065312727
2021-06-09,0.8973761766876986,0.2605932503899453,0.0339577631208187
2021-06-17,0.9604310893705736,0.32053358837294765,0.04228430764510171
2021-06-24,0.9867436852124849,0.3738674257767437,0.050162614143524846
2021-07-02,0.9612595174438684,0.42975283122852903,0.05639597465221941
2021-07-09,0.9194675147110214,0.4580499124800165,0.060254089429326
2021-07-16,0.8938948832932165,0.46147987687005987,0.06274453716792923
2021-07-23,0.8620721111502574,0.45246342432546116,0.06428063488677042
