,entry_date,exit_date,direction,a_side,a_shares,h_side,h_shares,entry_zscore,exit_zscore,gross_pnl,entry_cost,exit_cost,net_pnl,holding_days,exit_reason
0,2018-04-09,2018-05-02,long_a_short_h,1,9700,-1,8000,-2.198715555916365,-2.353500581533535,-6632.1439999999975,96.131832,111.53012000000001,-6839.805951999998,15,max_holding_period
1,2018-05-16,2018-06-07,long_a_short_h,1,8500,-1,5900,-2.060741856136661,-1.41451591517844,1594.0875999999982,89.44328080000001,86.81610560000001,1417.8282135999982,15,max_holding_period
2,2018-12-04,2018-12-12,long_a_short_h,1,8700,-1,5900,-2.1005143132550415,-0.3456300568962423,2703.317600000002,90.9491424,84.3941072,2527.974350400002,6,mean_reversion
3,2019-01-21,2019-02-18,long_a_short_h,1,9300,-1,6300,-2.0838004836616233,-1.7727164060940042,-543.7103999999968,92.172108,95.9193288,-731.8018367999967,15,max_holding_period
4,2019-02-20,2019-03-05,long_a_short_h,1,9000,-1,5900,-2.035982459095927,-0.4007642141864788,3035.74600000001,91.5579216,89.84242959999997,2854.34564880001,9,mean_reversion
5,2019-03-27,2019-04-18,long_a_short_h,1,9300,-1,5900,-2.422257473085717,-1.7733689963055475,-277.3683999999989,94.43130720000002,96.827444,-468.62715119999893,15,max_holding_period
6,2019-04-25,2019-05-22,long_a_short_h,1,9300,-1,5800,-2.001103886714933,-0.9739257939176362,1665.5680000000007,94.67829760000001,86.64136160000001,1484.2483408000007,15,max_holding_period
7,2019-07-02,2019-07-23,long_a_short_h,1,10200,-1,6100,-2.0727353546098053,-2.4355899275285626,-2341.6716000000015,95.6457904,92.6995336,-2530.0169240000014,15,max_holding_period
8,2019-07-24,2019-08-14,long_a_short_h,1,10600,-1,6200,-2.1382907077746114,-0.6288895236274007,2630.1928000000016,93.72001600000002,82.6296304,2453.8431536000016,15,max_holding_period
9,2019-09-17,2019-10-09,long_a_short_h,1,10900,-1,6300,-2.0309195530389186,-0.41342119126117854,2687.5511999999953,95.7523296,86.06082719999999,2505.7380431999954,11,mean_reversion
10,2019-11-04,2019-11-25,long_a_short_h,1,12100,-1,6800,-2.1091128833252064,-1.4178253604501971,-354.3312000000017,98.54480000000002,95.7928624,-548.6688624000017,15,max_holding_period
11,2019-12-23,2020-01-16,long_a_short_h,1,12400,-1,6500,-2.1656412264692984,-2.014280243751885,-1557.0599999999924,97.349832,102.919152,-1757.3289839999925,15,max_holding_period
12,2020-01-17,2020-02-17,long_a_short_h,1,11900,-1,6000,-2.0056953339715546,-1.4089928911886775,-179.5600000000095,95.92748,87.12360000000001,-362.6110800000095,15,max_holding_period
13,2020-03-09,2020-03-12,short_a_long_h,-1,13500,1,9200,2.426208445586959,3.480611667525314,-3942.536000000002,95.65625759999999,85.9891856,-4124.181443200002,3,stop_loss
14,2020-03-13,2020-03-16,short_a_long_h,-1,13200,1,9800,3.0941032509153663,3.5118613666659404,-1985.8583999999903,91.88840479999999,87.62628800000002,-2165.3730927999904,1,stop_loss
15,2020-03-17,2020-03-18,short_a_long_h,-1,13000,1,10300,3.4456309779597585,3.848021372218627,-2357.861199999995,90.0842704,84.22454800000001,-2532.1700183999947,1,stop_loss
16,2020-03-19,2020-03-23,short_a_long_h,-1,12900,1,11600,4.077326548248761,3.0814481945530656,2907.463999999999,87.6897168,92.0856448,2727.688638399999,2,stop_loss
17,2020-03-24,2020-04-03,short_a_long_h,-1,13400,1,10700,2.597760220516566,0.4633420149490071,10266.2844,90.02470239999998,105.84047119999998,10070.419226400001,8,mean_reversion
18,2020-11-26,2020-12-10,long_a_short_h,1,16200,-1,8200,-2.0464517290938287,3.004583023075289,12868.614399999999,99.95626239999999,71.3678336,12697.290303999998,10,stop_loss
19,2020-12-11,2021-01-05,short_a_long_h,-1,18500,1,12700,2.204694050701319,1.493862673669775,1346.006799999985,112.07898800000001,113.55000159999999,1120.377810399985,15,max_holding_period
20,2021-02-18,2021-03-11,long_a_short_h,1,18000,-1,8800,-2.486615844055494,-0.9909941062795863,4806.860799999992,113.1145408,105.08481920000001,4588.661439999993,15,max_holding_period
21,2021-08-31,2021-09-15,short_a_long_h,-1,16300,1,11600,2.089915643806541,3.3674483264750505,-8303.988799999992,117.768584,130.9244064,-8552.681790399993,11,stop_loss
22,2021-09-16,2021-09-23,short_a_long_h,-1,12600,1,9800,3.103263214240942,3.469581709456217,-2951.4071999999896,109.54683039999999,107.52481600000002,-3168.47884639999,2,stop_loss
23,2021-09-24,2021-09-27,short_a_long_h,-1,11900,1,9700,3.1888169956554346,3.0146506248872837,148.47999999998865,106.2974264,111.56858640000002,-69.38601280001137,1,stop_loss
24,2021-09-28,2021-10-28,short_a_long_h,-1,11000,1,8700,2.8747682274231736,0.8550445146302269,6446.604000000007,106.065256,98.63046400000002,6241.908280000007,15,max_holding_period
25,2022-03-30,2022-04-26,long_a_short_h,1,13600,-1,7400,-2.1075869543000785,-1.6432915929420944,-65.80560000000969,111.83980640000001,98.8066176,-276.4520240000097,15,max_holding_period
26,2022-04-27,2022-05-24,long_a_short_h,1,14800,-1,7900,-2.161677867496862,-2.011612595181351,-2453.634000000001,112.23327520000001,119.7453432,-2685.612618400001,15,max_holding_period
27,2022-10-31,2022-11-21,long_a_short_h,1,14500,-1,7200,-2.1511272454074306,-1.8493964321723333,-1188.0703999999891,108.40329600000001,115.8834368,-1412.3571327999891,15,max_holding_period
