date,a_close,h_close_hkd,fx_rate,h_close_cny,ah_premium_pct
2019-02-11,5.36,6.9676,0.92,6.410192,-0.16383159817989845
2019-02-12,5.4,7.0649,0.92,6.499708,-0.16919344684407356
2019-02-13,5.49,7.2269,0.92,6.648748,-0.17428063148129547
2019-02-14,5.47,7.2701,0.92,6.688492,-0.18217738766825176
2019-02-15,5.43,7.1729,0.92,6.599068000000001,-0.17715653180115754
2019-02-18,5.52,7.3889,0.92,6.797788,-0.1879711459080513
2019-02-19,5.53,7.4321,0.92,6.837532,-0.19122864799755235
2019-02-20,5.52,7.5186,0.92,6.917112,-0.20197909185220664
2019-02-21,5.48,7.5294,0.92,6.927048,-0.20889822042520845
2019-02-22,5.52,7.5834,0.92,6.9767280000000005,-0.2087981644117416
2019-02-25,5.72,7.5078,0.92,6.907176,-0.17187574198196198
2019-02-26,5.68,7.3997,0.92,6.807724,-0.1656536017030068
2019-02-27,5.71,7.3889,0.92,6.797788,-0.16002087737952397
2019-02-28,5.71,7.3133,0.92,6.728236,-0.15133773547776863
2019-03-01,5.74,7.3673,0.92,6.777916,-0.15313202465182518
2019-03-04,5.77,7.4321,0.92,6.837532,-0.1561282638238477
2019-03-05,5.74,7.3241,0.92,6.738172,-0.14813691309749877
2019-03-06,5.82,7.2161,0.92,6.638812000000001,-0.12333712718480361
2019-03-07,5.79,7.1945,0.92,6.61894,-0.12523757580518935
2019-03-08,5.58,7.1729,0.92,6.599068000000001,-0.1544260492542281
2019-03-11,5.62,7.1513,0.92,6.5791960000000005,-0.1457922822180705
2019-03-12,5.65,7.2161,0.92,6.638812000000001,-0.1489441183151443
2019-03-13,5.6,7.1621,0.92,6.589132,-0.1501156753271904
2019-03-14,5.59,7.4321,0.92,6.837532,-0.18245355195412616
2019-03-15,5.61,7.6482,0.92,7.036344000000001,-0.20271095330188516
2019-03-18,5.69,7.5726,0.92,6.966792000000001,-0.18326828187205824
2019-03-19,5.68,7.497,0.92,6.89724,-0.17648218707772967
2019-03-20,5.66,7.4646,0.92,6.867432,-0.1758200154002253
2019-03-21,5.7,7.5726,0.92,6.966792000000001,-0.18183290099661376
2019-03-22,5.66,7.6158,0.92,7.0065360000000005,-0.19218284184938184
2019-03-25,5.54,7.3025,0.92,6.7183,-0.175386630546418
2019-03-26,5.5,7.4646,0.92,6.867432,-0.19911838952318717
2019-03-27,5.5,7.7562,0.92,7.1357040000000005,-0.22922811820669697
2019-03-28,5.46,7.7346,0.92,7.115832000000001,-0.23269689334992738
2019-03-29,5.54,7.9399,0.92,7.304708,-0.2415850161293237
