segment,sample_size,p_value,significant,intercept,hedge_ratio,residual_mean,residual_std
2019_2020,474,0.14527379266931112,False,-0.1656212318755506,0.9178825015020834,-3.132983792697488e-15,0.09811478981656771
2021_2022,471,0.3866766408310999,False,0.5865488819385466,0.46596241017592155,-4.1024037198675635e-15,0.08069436990429053
2023,233,0.8260522922851257,False,-1.0965547992472384,1.3001207117698426,4.726786439605817e-16,0.10338598100265971
